,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux_Density,Unc_Flux_Density,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,LP_SigCurv,LP_Index,Unc_LP_Index,LP_beta,Unc_LP_beta,PLEC_SigCurv,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,Unc_PLEC_Exp_Index,Npred,ASSOC_GAM,TEVCAT_FLAG,ASSOC_TEV,CLASS,ASSOC1,ASSOC2,ASSOC_PROB_BAY
543,FL8Y J0251.7+4640 ,42.9341,46.6821,143.45844,-11.33928,0.1537,0.1147,-60.39,990,                  ,5.5670385,799.4051,6.2730013e-13,1.07682153e-13,2.1602253e-10,4.396683e-11,3.699446e-12,6.8915603e-13,PowerLaw         ,2.6163375,0.13040683,3.010587,2.3576345,0.30931336,0.4999139,0.26232007,3.0549576,1.024957,0.79548883,0.021355825,0.011383794,0.6666667,,498.73257,                  ,N,                        ,       ,                          ,                          ,0.0
544,FL8Y J0251.9-3656 ,42.9819,-36.9483,241.65263,-62.78496,0.0953,0.07,-74.23,242,                  ,4.226217,3521.9976,8.080928e-15,2.2967563e-15,9.6851666e-11,2.782187e-11,1.1166891e-12,3.2153991e-13,PowerLaw         ,1.9087913,0.1827095,2.064322,0.9978283,1.4209374,0.7376781,0.8490695,2.222682,-0.08343335,1.7503549,0.008259894,0.0068526147,0.6666667,,88.50442,                  ,N,                        ,       ,                          ,                          ,0.0
545,FL8Y J0252.8-2219 ,43.2032,-22.3216,209.74643,-62.091938,0.0149,0.0146,-4.27,220,                  ,93.82227,432.89832,4.6157776e-11,9.607932e-13,4.5075303e-09,1.204395e-10,4.9852716e-11,1.112981e-12,LogParabola      ,2.3544111,0.015978651,8.015523,2.2160645,0.02577815,0.096258946,0.013493286,7.9341817,2.110354,0.0396414,0.0031024734,0.0004996413,0.6666667,,6375.1226,3FHL J0252.8-2218 ,N,                        ,fsrq   ,PKS 0250-225              ,                          ,0.99994737
546,FL8Y J0253.0+3834 ,43.2679,38.5774,147.57906,-18.403973,0.0924,0.0762,61.73,443,                  ,9.937314,698.5073,1.1684896e-12,1.3096036e-13,2.794109e-10,4.0697855e-11,4.8668565e-12,5.8340973e-13,PowerLaw         ,2.6284153,0.09598357,1.5610888,2.5566928,0.12893085,0.122310445,0.09116292,1.4683273,2.3394442,0.24866572,0.0036806108,0.0031700744,0.6666667,,705.6172,3FGL J0252.3+3830 ,N,                        ,fsrq   ,B2 0249+38                ,                          ,0.99546874
547,FL8Y J0253.2-5442 ,43.3018,-54.7107,272.55368,-54.633312,0.0667,0.0602,4.74,259,                  ,12.7794695,776.4168,8.187582e-13,7.849712e-14,2.8933694e-10,3.5892865e-11,4.2694125e-12,4.2194996e-13,PowerLaw         ,2.5016105,0.08617453,1.3148036,2.435493,0.119207725,0.08578635,0.07571736,1.5230467,2.2322738,0.22907843,0.0030445466,0.0025390722,0.6666667,,677.5419,3FGL J0253.1-5438 ,N,                        ,fsrq   ,PKS 0252-549              ,                          ,0.9952828
548,FL8Y J0253.2-0123 ,43.3158,-1.4,176.70738,-51.08653,0.0523,0.046,-1.43,1045,                  ,9.653608,2825.0496,3.4775033e-14,5.428304e-15,2.7415178e-10,4.2821316e-11,3.0895898e-12,4.8895566e-13,PowerLaw         ,1.9667606,0.106470086,1.3819044,1.8750705,0.15411735,0.09241174,0.07929339,1.2109329,1.7608674,0.2244722,0.00073394337,0.0007952781,0.6666667,,231.81514,3FHL J0253.2-0126 ,N,                        ,bll    ,FBQS J0253-0124           ,                          ,0.99887365
549,FL8Y J0253.4+3216 ,43.3743,32.2763,150.93239,-23.875736,0.0417,0.0345,48.2,471,                  ,11.021861,1727.3899,1.5281766e-13,1.816348e-14,4.2004783e-10,5.0789272e-11,4.8557772e-12,5.860619e-13,PowerLaw         ,2.2205265,0.08742147,1.024079,2.1890254,0.10938596,0.051894315,0.05522994,0.9313592,2.106747,0.16301176,0.0006392425,0.0008344493,0.6666667,,532.5084,3FHL J0253.5+3216 ,N,                        ,fsrq   ,MG3 J025334+3217          ,                          ,0.9996283
550,FL8Y J0253.9+5104 ,43.4921,51.0757,141.75961,-7.261442,0.0411,0.0372,-53.93,354,                  ,18.319582,1015.50665,1.4003604e-12,9.272765e-14,9.630577e-10,7.2121184e-11,1.4363915e-11,1.0502196e-12,PowerLaw         ,2.5105305,0.054564983,2.4130852,2.4784315,0.0729223,0.0946838,0.045231063,2.169454,2.2886908,0.13229933,0.0022575622,0.0013282741,0.6666667,,1641.326,3FGL J0253.8+5104 ,N,                        ,fsrq   ,NVSS J025357+510256       ,                          ,0.99967444
551,FL8Y J0253.9+5931 ,43.4999,59.5302,137.90929,0.27050272,0.103,0.076,-36.37,1554,                  ,4.195487,2205.4263,7.1260916e-14,1.5787105e-14,3.4330735e-10,7.6503213e-11,5.1041823e-12,1.7116572e-12,PowerLaw         ,2.5079052,0.1882055,0.73574793,2.5118964,0.15690695,-0.05020391,0.06105834,0.76749724,2.6036263,0.20062028,-0.00039797573,0.00037212681,0.6666667,,426.66132,                  ,N,                        ,bcu    ,RFC J0254+5928            ,                          ,0.98131937
552,FL8Y J0255.9+0534 ,43.9767,5.5752,170.20992,-45.56337,0.0758,0.0679,85.03,654,                  ,5.5731907,2801.348,2.7141932e-14,5.991672e-15,2.1344329e-10,4.7379888e-11,2.3774693e-12,5.35413e-13,PowerLaw         ,2.1033041,0.15569253,1.861937,1.8607831,0.3603214,0.3039395,0.28072804,1.9290116,1.1931043,0.8304645,0.004683428,0.0046061617,0.6666667,,205.51474,3FGL J0255.8+0532 ,N,                        ,bcu    ,PMN J0255+0533            ,                          ,0.99755293
