Source_Name	KNeighborsClassifier	LinearSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J0243.7+5237 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0245.0+4755 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0246.1-4838 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0246.6-3348 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0248.0+2232 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0251.1-1830 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0251.7+4640 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN	AGN
FL8Y J0251.9-3656 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0257.5+7045 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0259.0+0552 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0259.5-1705 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0301.2+2546 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0301.8-5617 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0302.4+3354 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0304.7+6554 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN	AGN
FL8Y J0306.2+5950 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	AGN	AGN
FL8Y J0306.6+6056 	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	PSR	AGN	AGN
FL8Y J0309.0-4702 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0309.1+5708 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0310.9-3458 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN	AGN
FL8Y J0311.9+5153 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0312.1-0920 	PSR	AGN	PSR	PSR	PSR	AGN	PSR	PSR	PSR	PSR	PSR
FL8Y J0312.4-3221 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0312.8+2013 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0314.2+6216 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0314.5-4805 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0315.4-2643 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0315.5+4231 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0316.1-5626 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0318.2+0254 	PSR	AGN	PSR	PSR	PSR	AGN	PSR	PSR	PSR	PSR	PSR
FL8Y J0318.2+4821 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN	AGN
FL8Y J0319.8-3817 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0324.8-2043 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN	AGN
FL8Y J0327.6+2619 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0327.7+5842 	AGN	PSR	PSR	PSR	PSR	AGN	PSR	PSR	PSR	AGN	PSR
FL8Y J0327.8+5804 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN
FL8Y J0328.4-4737 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0328.5+6114 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0328.6-1129 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0330.1+5037 	PSR	PSR	PSR	PSR	AGN	PSR	PSR	PSR	PSR	AGN	PSR
FL8Y J0330.8-2407 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0332.8+1557 	AGN	AGN	AGN	PSR	AGN	AGN	PSR	AGN	AGN	AGN	PSR
FL8Y J0333.0-3044 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0333.2+8227 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0333.3-2707 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0333.6+3108 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0336.1+7503 	PSR	AGN	PSR	PSR	PSR	AGN	PSR	AGN	PSR	PSR	PSR
FL8Y J0337.9-1155 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0340.4+5302 	AGN	AGN	PSR	PSR	AGN	AGN	AGN	PSR	PSR	AGN	PSR
FL8Y J0342.3+3154 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0343.3-6303 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0344.4+3202 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN
FL8Y J0344.4+3432 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0346.2+3236 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0347.0-6359 	PSR	PSR	AGN	AGN	AGN	AGN	AGN	PSR	PSR	AGN	AGN
FL8Y J0347.6-0132 	AGN	AGN	PSR	PSR	AGN	AGN	AGN	AGN	AGN	AGN	PSR
FL8Y J0348.3+4434 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0349.4+4026 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0350.1+2421 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	AGN	AGN
FL8Y J0350.4-5144 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0355.1-1841 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0356.1-1328 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0357.9+0214 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0358.0-6807 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0359.4-0236 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0401.0-5354 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0402.6+5402 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0402.9+6433 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0404.3-1558 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0404.5+3450 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	AGN	AGN
FL8Y J0405.5+3834 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0406.7+3032 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	AGN	AGN
FL8Y J0407.7-5702 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0409.2+2542 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0409.3-3821 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0409.5+5112 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN
FL8Y J0409.8+4009 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	PSR	AGN	AGN
FL8Y J0413.2-0306 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0414.3+4522 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN
FL8Y J0414.5+5518 	AGN	AGN	AGN	AGN	AGN	AGN	AGN	AGN	PSR	AGN	AGN
