Source_Name	KNeighborsClassifier	LinearSVM	RBFSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J1138.0-6215 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1139.2-6247 	YNG	YNG	YNG	YNG	MSP	YNG	YNG	MSP	MSP	YNG	YNG	YNG
FL8Y J1203.1-6302 	YNG	YNG	YNG	YNG	YNG	MSP	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J1204.6-5032 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1207.5-4535 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1208.1-6442 	YNG	MSP	MSP	YNG	MSP	MSP	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J1208.2-6900 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1210.0-6250 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1217.5-6214 	YNG	MSP	YNG	YNG	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG
FL8Y J1221.5-0634 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1221.9-6239 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1225.9+2951 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1231.6-6511 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1304.4+1203 	MSP	MSP	MSP	MSP	YNG	MSP	MSP	MSP	MSP	MSP	YNG	MSP
FL8Y J1306.3-6043 	YNG	MSP	YNG	YNG	MSP	MSP	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J1309.2-6227 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1317.6-6318 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1329.9-6108 	MSP	YNG	YNG	YNG	MSP	MSP	YNG	MSP	MSP	MSP	YNG	MSP
FL8Y J1335.0-5656 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1344.9-6224 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1345.9-2612 	MSP	MSP	MSP	MSP	YNG	MSP	MSP	MSP	MSP	MSP	YNG	MSP
FL8Y J1351.0-6140 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1358.1-6025 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1400.0-2415 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1403.5-6237 	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1405.3-6119 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1441.7-5951 	YNG	MSP	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1444.0-5930 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
